Net Status Report
Filename     : E:\Work\hardware\MyBoard\core\MYBOARD.PcbDoc
Date         : 2017/5/6
Time         : 20:18:20
Time Elapsed : 00:00:01

Nets, Layer, Length
    3.3V, Signal Layers Only, 546.198mils
    5V, Signal Layers Only, 4126.557mils
    5V_EN, Signal Layers Only, 522.633mils
    A0, Signal Layers Only, 2057.925mils
    A1, Signal Layers Only, 1962.682mils
    A10, Signal Layers Only, 584.404mils
    A11, Signal Layers Only, 580.932mils
    A12, Signal Layers Only, 1607.505mils
    A13, Signal Layers Only, 1688.437mils
    A14, Signal Layers Only, 1768.868mils
    A15, Signal Layers Only, 1849.297mils
    A16, Signal Layers Only, 1452.567mils
    A17, Signal Layers Only, 1044.722mils
    A18, Signal Layers Only, 1360.034mils
    A2, Signal Layers Only, 1890.842mils
    A3, Signal Layers Only, 1838.32mils
    A4, Signal Layers Only, 1778.192mils
    A5, Signal Layers Only, 1177.707mils
    A6, Signal Layers Only, 516.244mils
    A7, Signal Layers Only, 537.614mils
    A8, Signal Layers Only, 584.75mils
    A9, Signal Layers Only, 583.282mils
    AGND, Signal Layers Only, 0mils
    AVDD, Signal Layers Only, 0mils
    BL_EN, Signal Layers Only, 268.199mils
    BOOT0, Signal Layers Only, 0mils
    BOOT1, Signal Layers Only, 0mils
    D0, Signal Layers Only, 2678.64mils
    D1, Signal Layers Only, 2815.788mils
    D10, Signal Layers Only, 2341.562mils
    D11, Signal Layers Only, 2475.932mils
    D12, Signal Layers Only, 2374.996mils
    D13, Signal Layers Only, 2801.936mils
    D14, Signal Layers Only, 2894.638mils
    D15, Signal Layers Only, 3076.13mils
    D2, Signal Layers Only, 2915.928mils
    D3, Signal Layers Only, 2959.965mils
    D4, Signal Layers Only, 1808.459mils
    D5, Signal Layers Only, 1896.627mils
    D6, Signal Layers Only, 1751.694mils
    D7, Signal Layers Only, 1840.049mils
    D8, Signal Layers Only, 2363.037mils
    D9, Signal Layers Only, 2467.853mils
    DBGACK, Signal Layers Only, 0mils
    DC_5V, Signal Layers Only, 994.519mils
    DETECT_TF#, Signal Layers Only, 0mils
    FLASH_CS#, Signal Layers Only, 0mils
    GND, Signal Layers Only, 1736.873mils
    K1, Signal Layers Only, 0mils
    K2, Signal Layers Only, 0mils
    LEDMODE, Signal Layers Only, 0mils
    LINK/ACTIVE#, Signal Layers Only, 312.078mils
    MDC, Signal Layers Only, 0mils
    MDIO, Signal Layers Only, 0mils
    MII_INTR#, Signal Layers Only, 0mils
    NCE1#, Signal Layers Only, 0mils
    NCE2#, Signal Layers Only, 208.735mils
    NLB#, Signal Layers Only, 0mils
    NOE#, Signal Layers Only, 0mils
    NUB#, Signal Layers Only, 0mils
    NWE#, Signal Layers Only, 0mils
    NetBAT1_1, Signal Layers Only, 0mils
    NetC11_1, Signal Layers Only, 0mils
    NetC18_2, Signal Layers Only, 0mils
    NetC20_2, Signal Layers Only, 0mils
    NetC26_1, Signal Layers Only, 0mils
    NetC31_1, Signal Layers Only, 0mils
    NetC41_1, Signal Layers Only, 0mils
    NetC43_1, Signal Layers Only, 0mils
    NetC45_1, Signal Layers Only, 97.054mils
    NetC45_2, Signal Layers Only, 654.907mils
    NetC48_1, Signal Layers Only, 141.947mils
    NetC48_2, Signal Layers Only, 139.785mils
    NetC51_1, Signal Layers Only, 103.432mils
    NetC6_2, Signal Layers Only, 0mils
    NetD1_2, Signal Layers Only, 0mils
    NetD2_1, Signal Layers Only, 0mils
    NetD3_1, Signal Layers Only, 0mils
    NetF1_1, Signal Layers Only, 185.912mils
    NetF2_1, Signal Layers Only, 221.13mils
    NetJ2_12, Signal Layers Only, 266.825mils
    NetJ2_9, Signal Layers Only, 332.167mils
    NetJ4_11, Signal Layers Only, 0mils
    NetJ5_2, Signal Layers Only, 0mils
    NetJ5_3, Signal Layers Only, 0mils
    NetJ6_2, Signal Layers Only, 0mils
    NetJ6_3, Signal Layers Only, 0mils
    NetK1_1, Signal Layers Only, 0mils
